Player,Year,Tm,Age,MP,TS%,FTr,Offense,Val/Shot,Production,Height,Weight
Jack Sikma,1978,SEA,22,2238,0.509,0.328,1.13,0.3,"$5,2.7,0.4
Richard Washington,1978,KCK,22,2231,0.511,0.223,0.48,0.2,"$4,2.2,1.1
Dennis Johnson,1978,SEA,23,2209,0.486,0.461,0.15,0.3,"$10,5.2,3.7
John Drew,1978,ATL,23,2203,0.545,0.465,0.93,0.3,"$14,7.6,8.3
Johnny Davis,1978,POR,22,2188,0.511,0.3,0.02,0.2,"$3,1.3,1.8
Austin Carr,1978,CLE,29,2186,0.484,0.238,0.07,0.3,"$2,1,2.3
Paul Silas,1978,SEA,34,2172,0.437,0.401,0.61,0.1,"$6,3.3,0.1
John Shumate,1978,DET,25,2170,0.597,0.658,2.32,0.4,"$9,4.6,3.1
Bob Gross,1978,POR,24,2163,0.569,0.264,0.51,0.4,"$17,9.4,6.3
Billy Knight,1978,BUF,25,2155,0.558,0.402,1.59,0.4,"$11,6,6.3
Kevin Kunnert,1978,HOU,26,2152,0.46,0.16,0.26,0.1,"$3,1.2,1
Lucius Allen,1978,KCK,30,2147,0.488,0.26,-2.26,0.3,"$2,0.7,1.5
Sam Lacey,1978,KCK,29,2131,0.494,0.317,-1.27,0.3,"$14,7.8,1.6
Kevin Grevey,1978,WSB,24,2121,0.496,0.273,0.12,0.2,"$3,1.1,3.3
Rich Kelley,1978,NOJ,24,2119,0.571,0.48,0.38,0.4,"$16,8.7,3.3
Maurice Lucas,1978,POR,25,2119,0.502,0.273,-1.1,0.2,"$9,4.5,2.8
Aaron James,1978,NOJ,25,2118,0.523,0.182,1.89,0.3,"$3,1.2,2.4
Moses Malone,1978,HOU,22,2107,0.559,0.535,1.83,0.3,"$3,1.3,4.2
Gar Heard,1978,PHO,29,2099,0.449,0.235,0.51,0.1,"$8,4.2,-1.4
Mike Gale,1978,SAS,27,2091,0.51,0.172,-2.13,0.3,"$8,4.1,2.3
Quinn Buckner,1978,MIL,23,2072,0.499,0.303,-3.32,0.4,"$7,3.6,2.1
Sonny Parker,1978,GSW,22,2069,0.544,0.221,1.95,0.3,"$13,7,4.6
World B. Free,1978,PHI,24,2050,0.539,0.656,-0.82,0.3,"$5,2.6,4.8
Pete Maravich,1978,NOJ,30,2041,0.492,0.22,-1.71,0.4,"$6,2.8,4.4
Louie Dampier,1978,SAS,33,2037,0.531,0.153,0.32,0.3,"$2,0.7,2.7
Jim Cleamons,1978,NYK,28,2009,0.518,0.23,0.16,0.3,"$2,0.9,1.1
Chuck Williams,1978,BUF,31,2002,0.533,0.317,-1.14,0.4,"($3,-2.2,-0.9
Elmore Smith,1978,CLE,28,1996,0.534,0.382,2.27,0.3,"$7,3.4,1.2
Leon Douglas,1978,DET,23,1993,0.527,0.517,0.18,0.2,"$2,0.8,0.6
Adrian Dantley,1978,LAL,21,1985,0.599,0.575,2.18,0.4,"$14,7.7,7.6
Butch Beard,1978,NYK,30,1979,0.544,0.261,-0.67,0.4,"$7,3.5,3.2
Jim McMillian,1978,NYK,29,1977,0.507,0.215,0.74,0.2,"$3,1.5,1.6
Robert Parish,1978,GSW,24,1969,0.499,0.29,-0.62,0.2,"$3,1.4,-0.4
Fred Brown,1978,SEA,29,1965,0.528,0.188,1.19,0.4,"$10,5.2,5.5
Don Ford,1978,LAL,25,1945,0.497,0.156,1.41,0.2,"$6,2.8,1.3
Charlie Criss,1978,ATL,29,1935,0.496,0.394,-1.18,0.3,"$1,0.3,1.8
Bill Walton,1978,POR,25,1929,0.554,0.279,-0.6,0.4,"$22,11.9,5.1
Ron Lee,1978,PHO,25,1928,0.478,0.24,-2.81,0.3,"$10,5.3,2.1
Alvan Adams,1978,PHO,23,1914,0.528,0.327,-1.14,0.3,"$9,5,2.2
Otis Birdsong,1978,KCK,22,1878,0.53,0.325,0.85,0.3,"$3,1.4,4.2
Junior Bridgeman,1978,MIL,24,1876,0.539,0.216,0.36,0.3,"$4,1.7,3.5
Coby Dietrick,1978,SAS,29,1876,0.496,0.21,-0.87,0.2,"$5,2.2,0.3
Eddie Johnson,1978,ATL,22,1875,0.535,0.293,-0.39,0.4,"$3,1.3,2.1
Earl Tatum,1978,IND,24,1859,0.493,0.177,-0.09,0.3,"$5,2.6,2.3
Paul Griffin,1978,NOJ,24,1853,0.506,0.439,0.46,0.3,"$7,3.6,-0.3
Robert Reid,1978,HOU,22,1849,0.475,0.167,1.51,0.2,"$5,2.3,1.1
Dave Twardzik,1978,POR,27,1820,0.651,0.572,1.11,0.6,"$8,3.9,3.2
Steve Mix,1978,PHI,30,1819,0.576,0.393,1.3,0.4,"$7,3.7,3.5
John Johnson,1978,SEA,30,1812,0.453,0.212,-1.59,0.2,"$800,-0.1,2.3
Scott May,1978,CHI,23,1802,0.516,0.35,0.65,0.2,"$3,1.5,2
E.C. Coleman,1978,GSW,27,1801,0.493,0.123,1.91,0.2,"$4,1.7,-0.4
Jim Brewer,1978,CLE,26,1798,0.456,0.256,1.42,0.2,"$6,2.9,-0.3
Tree Rollins,1978,ATL,22,1795,0.521,0.285,1.61,0.2,"$10,5.6,0
Mark Olberding,1978,SAS,21,1773,0.557,0.473,1.43,0.3,"$4,1.6,1.7
John Mengelt,1978,CHI,28,1767,0.535,0.353,0.08,0.4,"$100,-0.3,1
Spencer Haywood,1978,NYK,28,1765,0.505,0.158,-0.26,0.2,"$2,0.9,1.5
Jim McElroy,1978,NOJ,24,1760,0.512,0.275,-0.87,0.4,"$800,-0.1,1.1
Mitch Kupchak,1978,WSB,23,1759,0.564,0.523,1.69,0.4,"$3,1.3,2.7
Bill Robinzine,1978,KCK,25,1748,0.512,0.4,0.19,0.2,"($300,-0.3,3.6
Darryl Dawkins,1978,PHI,21,1722,0.608,0.381,2.87,0.4,"$8,4.1,2.4
Tom Owens,1978,POR,28,1714,0.546,0.435,0.27,0.3,"$9,4.5,3.6
Wil Jones,1978,BUF,30,1711,0.473,0.232,-0.32,0.2,"$1,0.1,-1
Ollie Johnson,1978,ATL,28,1704,0.514,0.21,0.94,0.3,"$5,2.3,1.4
Tom McMillen,1978,ATL,25,1683,0.535,0.255,1.77,0.3,"$3,1.4,1.7
James Edwards,1978,IND,22,1682,0.492,0.381,0.95,0.2,"($800,-1.8,-0.7
Walt Frazier,1978,CLE,32,1664,0.52,0.252,0.82,0.4,"$9,4.8,4.1
Charles Dudley,1978,GSW,27,1660,0.585,0.783,-3.22,0.6,"$3,1.6,0.9
Jo Jo White,1978,BOS,31,1641,0.458,0.174,-1.29,0.2,"$1,0.3,0.9
Caldwell Jones,1978,PHI,27,1636,0.509,0.426,0.94,0.2,"$4,2.1,-0.6
Dennis Awtrey,1978,PHO,29,1623,0.47,0.413,0.06,0.2,"($600,-0.5,3.7
Anthony Roberts,1978,DEN,22,1598,0.467,0.288,-1.35,0.1,"($3,-0.5,2.2
John Brown,1978,ATL,26,1594,0.557,0.494,1.69,0.3,"$5,2.3,1.8
Bingo Smith,1978,CLE,31,1581,0.47,0.161,0.37,0.2,"($800,2,2
Alex English,1978,MIL,24,1552,0.568,0.226,1.35,0.4,"$5,2.6,2.8
Ray Williams,1978,NYK,23,1550,0.485,0.3,-5.08,0.3,"$1,0.5,1
Alvin Scott,1978,PHO,22,1538,0.543,0.518,2.51,0.3,"$4,2.1,0.7
Tom Burleson,1978,KCK,25,1525,0.515,0.472,0.38,0.3,"$8,4,2
Jamaal Wilkes,1978,LAL,24,1490,0.475,0.235,-1.28,0.2,"$7,3.9,2.3
Allan Bristow,1978,SAS,26,1481,0.529,0.387,-1.35,0.3,"$3,1.6,2.1
Tim Bassett,1978,NJN,26,1474,0.408,0.253,1.23,0.1,"$1,0,-1.7
Larry Wright,1978,WSB,23,1466,0.52,0.188,-1.2,0.4,"$1,0.3,1.6
John Williamson,1978,IND,26,1449,0.464,0.203,-1.31,0.2,"($3,-2.3,0.3
Jan Van Breda Kolff,1978,NJN,26,1419,0.435,0.421,1.31,0.2,"$1,0.3,-1.7
Charlie Scott,1978,LAL,29,1393,0.49,0.279,-2.3,0.3,"$1,0.3,0.7
Marvin Barnes,1978,BUF,25,1377,0.464,0.282,-1.23,0.2,"$4,2.2,0.5
Corky Calhoun,1978,POR,27,1370,0.522,0.208,1.98,0.2,"$3,1.5,0.8
