Player,Year,Tm,Age,MP,TS%,FTr,Offense,Val/Shot,Production,Height,Weight
Trent Tucker,1985,NYK,25,1819,0.521,0.079,1.19,0.3,"$5,2.7,2.5
Jerry Sichting,1985,IND,28,1808,0.567,0.205,0.79,0.4,"($100,-0.3,1
James Edwards,1985,PHO,29,1787,0.562,0.483,-0.05,0.3,"$2,1,1.1
Kevin Willis,1985,ATL,22,1785,0.497,0.262,0.38,0.1,"($4,-0.6,4.7
Robert Reid,1985,HOU,29,1763,0.507,0.194,-0.07,0.2,"$2,0.6,0.5
Mike Holton,1985,PHO,23,1761,0.497,0.205,-1.01,0.2,"($3,-0.8,-0.7
Tree Rollins,1985,ATL,29,1750,0.578,0.274,3.36,0.3,"$7,3.9,-0.9
Kelvin Ransey,1985,NJN,26,1689,0.505,0.217,-1.94,0.3,"$900,0,1
Alvin Robertson,1985,SAS,22,1685,0.538,0.282,-2.49,0.3,"$9,4.6,2.8
Dan Issel,1985,DEN,36,1684,0.528,0.403,0.53,0.2,"$1,0.3,1.4
Kelly Tripucka,1985,DET,25,1675,0.548,0.347,0.99,0.3,"$4,1.9,2.8
Bill Hanzlik,1985,DEN,27,1673,0.495,0.456,-0.82,0.2,"$1,0.3,0.3
Maurice Lucas,1985,PHO,32,1670,0.517,0.275,-1.47,0.2,"$2,0.7,-0.2
Steve Johnson,1985,CHI,27,1659,0.593,0.488,0.99,0.3,"$2,1,0.9
Ben Poquette,1985,CLE,29,1656,0.514,0.3,2.05,0.2,"$5,2.4,0.2
Bill Walton,1985,LAC,32,1647,0.558,0.393,-0.9,0.3,"$9,5.1,0.7
Earl Cureton,1985,DET,27,1642,0.505,0.336,1.06,0.2,"$3,1.6,-0.5
Bobby Jones,1985,PHI,33,1633,0.625,0.561,1.25,0.4,"$10,5.5,3.1
Kurt Rambis,1985,LAL,26,1617,0.577,0.315,1.92,0.2,"$8,4.1,1.2
Michael Cage,1985,LAC,23,1610,0.582,0.344,2.96,0.3,"$2,1,0.7
Tony Brown,1985,IND,24,1586,0.503,0.368,-0.45,0.2,"$2,0.9,0.5
Paul Mokeski,1985,MIL,28,1586,0.511,0.27,0.87,0.2,"$2,0.7,-1
Tim McCormick,1985,SEA,22,1584,0.606,0.545,2.47,0.4,"$1,0.4,1.1
Mitchell Wiggins,1985,HOU,25,1575,0.516,0.199,0.32,0.2,"$4,2.1,1.9
Darren Daye,1985,WSB,24,1573,0.566,0.494,-0.33,0.4,"$5,2.7,1.7
Mickey Johnson,1985,GSW,32,1565,0.513,0.443,-0.74,0.3,"$4,2.2,2.1
Charles Jones,1985,PHO,23,1565,0.566,0.619,0.08,0.3,"$4,2.1,0.3
Tom McMillen,1985,WSB,32,1547,0.519,0.253,2.47,0.2,"($2,-1.2,-0.8
Clint Richardson,1985,PHI,28,1531,0.5,0.22,-0.34,0.2,"$900,0,1.5
Dave Greenwood,1985,CHI,27,1523,0.497,0.283,1.39,0.1,"$2,1,-0.2
Wes Matthews,1985,CHI,25,1523,0.523,0.22,-3.89,0.4,"($3,-2.5,-0.3
Jeff Wilkins,1985,UTA,29,1505,0.511,0.137,0.51,0.2,"($500,4.2,5
Cedric Maxwell,1985,BOS,29,1495,0.634,0.737,2.35,0.4,"$5,2.7,2.7
Dan Roundfield,1985,DET,31,1492,0.524,0.352,0.27,0.2,"$4,2.1,0.6
Elston Turner,1985,DEN,25,1491,0.497,0.168,0.55,0.2,"$3,1.7,0.5
Ricky Sobers,1985,SEA,32,1490,0.501,0.258,-2.94,0.3,"($4,1,2
John Stockton,1985,UTA,22,1490,0.548,0.58,-4.56,0.5,"($100,1,1
Steve Colter,1985,POR,22,1462,0.52,0.273,-1.42,0.3,"$1,0.4,1
Mike Evans,1985,DEN,29,1437,0.568,0.198,0.67,0.5,"$1,0.5,2.9
Jeff Ruland,1985,WSB,26,1436,0.617,0.665,-0.02,0.5,"$8,4.4,1.9
Jeff Turner,1985,NJN,22,1429,0.504,0.244,0.5,0.2,"($900,-0.5,3.4
Ken Bannister,1985,NYK,24,1404,0.481,0.431,-1.2,0.1,"($5,4,4
Kent Benson,1985,DET,30,1401,0.545,0.237,2.12,0.3,"$5,2.7,0.7
Ennis Whatley,1985,CHI,22,1385,0.497,0.275,-6.18,0.3,"($3,-1.7,-0.4
Rod Foster,1985,PHO,24,1318,0.508,0.173,-1.32,0.3,"($1,-2.2,-0.3
Dale Ellis,1985,DAL,24,1314,0.514,0.172,1.06,0.2,"$1,0.2,1.9
Sedale Threatt,1985,PHI,23,1304,0.489,0.216,-2.21,0.2,"$200,1,1
James Bailey,1985,NYK,27,1297,0.485,0.309,0.32,0.1,"($2,0.6,-0.1
Larry Spriggs,1985,LAL,25,1292,0.598,0.412,-0.26,0.3,"$3,1.7,1.2
Butch Carter,1985,NYK,26,1279,0.512,0.282,-1.23,0.3,"($700,-0.3,1.3
Terence Stansbury,1985,IND,23,1278,0.512,0.275,0.18,0.3,"($1,-1,-0.2
Rich Kelley,1985,UTA,31,1276,0.547,0.519,-0.41,0.3,"$3,1.4,-1.4
Othell Wilson,1985,GSW,23,1260,0.501,0.261,-1.89,0.3,$0 ,1,23.27
John Paxson,1985,SAS,24,1259,0.566,0.26,-0.63,0.4,"($1,-2.2,-0.4
Bob McAdoo,1985,LAL,33,1254,0.559,0.297,-0.62,0.2,"$500,-0.3,3.6
Lonnie Shelton,1985,CLE,29,1244,0.462,0.212,-0.27,0.1,"$2,0.8,-0.8
Alvin Scott,1985,PHO,29,1238,0.473,0.286,-0.05,0.1,"$200,2.2,3
Dudley Bradley,1985,WSB,27,1232,0.536,0.264,-0.05,0.4,"$5,2.3,0
Antoine Carr,1985,ATL,23,1195,0.578,0.341,0.72,0.3,"$4,1.9,0.2
Kevin Grevey,1985,MIL,31,1182,0.505,0.252,0.5,0.2,"($1,-0.6,2
Marc Iavaroni,1985,SAS,28,1178,0.506,0.378,-1.43,0.1,"$1,0.2,-0.6
Mike McGee,1985,LAL,25,1170,0.567,0.261,-0.08,0.2,"$2,0.7,3
Randy Wittman,1985,ATL,25,1168,0.549,0.116,0.87,0.3,"$1,0.1,0.5
John Lucas,1985,HOU,31,1158,0.533,0.289,-2.41,0.5,"$2,1.1,2.5
Jon Sundvold,1985,SEA,23,1150,0.47,0.148,-2.75,0.3,"($5,1,1
Scott Wedman,1985,BOS,32,1127,0.515,0.12,0.3,0.2,"$300,2.6,3
Mike Glenn,1985,ATL,29,1126,0.615,0.196,2.33,0.5,"$2,0.7,1.9
Bill Garnett,1985,IND,24,1123,0.541,0.561,0.76,0.3,"($100,3.7,4
Kenny Carr,1985,POR,29,1120,0.572,0.452,0.66,0.3,"$200,-0.5,3.5
Mike O'Koren,1985,NJN,26,1119,0.518,0.17,0.95,0.3,"$2,0.7,0.6
Audie Norris,1985,POR,24,1117,0.6,0.829,1.56,0.3,"$1,-0.3,0.4
Frank Brickowski,1985,SEA,25,1115,0.533,0.416,-0.6,0.3,$0 ,25.47,0
Chuck Aleksinas,1985,GSW,25,1114,0.509,0.223,1.4,0.2,"($4,4.8,5
Rory White,1985,LAC,25,1106,0.562,0.466,1.51,0.2,$0 ,25.47,2
Randy Breuer,1985,MIL,24,1083,0.554,0.401,1.82,0.2,"$3,1.2,-0.3
Darwin Cook,1985,NJN,26,1063,0.496,0.119,-1.39,0.3,"$1,0.3,0.4
Ernie Grunfeld,1985,NYK,29,1061,0.529,0.271,1.17,0.3,"$3,1.2,1.1
Joe Meriweather,1985,KCK,31,1061,0.57,0.51,2.91,0.2,"($300,4,5
Harvey Catchings,1985,LAC,33,1049,0.539,0.597,3.19,0.2,"($600,3.9,5
Charles Pittman,1985,PHO,26,1001,0.555,0.643,-0.14,0.3,"($100,3.4,3
Jawann Oldham,1985,CHI,27,993,0.495,0.26,1.47,0.1,"$2,1,-1.5
Darryl Dawkins,1985,NJN,28,972,0.616,0.593,1.98,0.4,"$1,0.1,0.5
Jerome Kersey,1985,POR,22,958,0.524,0.487,-0.29,0.2,"$2,0.8,0.8
Rod Higgins,1985,CHI,25,942,0.497,0.333,0.27,0.2,"$700,2.6,3
Don Buse,1985,KCK,34,939,0.504,0.148,-1.41,0.4,"($300,1.1,1
Frank Johnson,1985,WSB,26,925,0.535,0.268,-0.05,0.4,"$1,0.3,0.9
Eddie Lee Wilkins,1985,NYK,22,917,0.52,0.524,1.47,0.2,"($2,4.3,5
Ozell Jones,1985,SAS,24,888,0.566,0.461,1.22,0.2,"$3,1.2,-0.4
Caldwell Jones,1985,CHI,34,885,0.523,0.409,2.6,0.1,"$1,0.2,-1
Ricky Pierce,1985,MIL,25,882,0.599,0.404,1.23,0.4,"$4,2,1.9
Mark West,1985,CLE,24,882,0.549,0.44,2.62,0.2,$0 ,5,24.24
Clemon Johnson,1985,PHI,28,875,0.526,0.209,1.58,0.1,"$2,0.7,0.3
Fred Roberts,1985,UTA,24,873,0.587,0.45,1.46,0.4,"$2,0.7,1
Sly Williams,1985,ATL,27,867,0.48,0.324,-2.42,0.2,"$1,0.2,0
Wallace Bryant,1985,DAL,25,860,0.49,0.297,0.19,0.1,"$2,1.1,-0.4
Albert King,1985,NJN,25,860,0.531,0.226,-0.03,0.3,"$2,0.7,1.3
Reggie King,1985,SEA,27,860,0.477,0.396,1.18,0.1,"($500,-1.5,0.6
Quinn Buckner,1985,BOS,30,858,0.419,0.259,-3.66,0,"$100,1,30.45
Jeff Cook,1985,SAS,28,848,0.562,0.213,2.75,0.2,"$2,1,0.6
Scott Hastings,1985,ATL,24,825,0.539,0.431,1.44,0.2,"$1,-0.4,0.7
Rickey Brown,1985,ATL,26,814,0.439,0.354,0.29,0,"($1,4.1,5
George Johnson,1985,NJN,36,800,0.589,0.342,3.75,0.3,"$2,1.1,-1
Jamaal Wilkes,1985,LAL,31,761,0.523,0.218,-0.81,0.1,"($800,-0.8,2.1
Devin Durrant,1985,IND,24,756,0.47,0.372,-2.5,0.2,"($1,2.4,3
George Johnson,1985,PHI,28,756,0.459,0.213,-1.13,0,"($200,3,3
Mike Bratz,1985,GSW,29,746,0.502,0.328,-1.15,0.3,"($200,29.3,7
Charles Davis,1985,MIL,26,746,0.472,0.168,-1.78,0.1,"($400,-0.5,2.9
Sidney Green,1985,CHI,24,740,0.503,0.392,-1.26,0.1,"($2,4.2,4
Mitch Kupchak,1985,LAL,30,716,0.539,0.373,0.11,0.1,"($200,4,4
Paul Thompson,1985,CLE,23,715,0.46,0.15,-1.23,0.2,"$2,0.7,0.2
Jim Petersen,1985,HOU,22,714,0.549,0.458,0.78,0.2,"($600,-0.1,4.1
Bryan Warrick,1985,LAC,25,713,0.543,0.329,-3.39,0.4,"($1,1.3,1
Granville Waiters,1985,IND,24,703,0.469,0.263,0.11,0.1,"($800,5,24.07
Gary Plummer,1985,GSW,22,702,0.459,0.397,-0.23,0.1,"($3,3.5,4
Lancaster Gordon,1985,LAC,22,682,0.42,0.171,-4.72,0.1,"($2,1.2,2
Ron Cavenall,1985,NYK,25,653,0.378,0.453,0.81,-0.1,"($800,5,25.76
Bob Hansen,1985,UTA,24,646,0.508,0.32,-0.94,0.3,$0 ,2,24.04
Charles Jones,1985,WSB,27,638,0.569,0.423,3.6,0.3,"$5,2.5,0.1
Tony Campbell,1985,DET,22,625,0.54,0.267,-0.19,0.2,"($700,3,22.74
Billy Knight,1985,SAS,32,611,0.501,0.2,-2.3,0.2,"($900,3,32.65
Walter Davis,1985,PHO,30,570,0.506,0.236,-1.95,0.3,"($400,-0.8,1.4
Carlos Clark,1985,BOS,24,562,0.482,0.349,-1.12,0.1,"$500,2,2
Cory Blackwell,1985,SEA,21,551,0.387,0.232,-4.08,-0.1,"($3,2.7,3
Danny Schayes,1985,DEN,25,542,0.58,0.752,1.38,0.3,"$1,-0.2,0.4
Allen Leavell,1985,HOU,27,536,0.487,0.273,-2.57,0.3,"($500,-0.1,-0.7
Kenny Fields,1985,MIL,22,535,0.471,0.188,-0.84,0.1,$0 ,3,22.98
Kevin McKenna,1985,NJN,26,535,0.539,0.321,0.77,0.3,"$1,0.4,0.1
Bernard Thompson,1985,POR,22,535,0.42,0.241,-2.9,0,$0 ,0,2.4
Ron Anderson,1985,CLE,26,520,0.484,0.256,-0.3,0.2,"$100,-0.1,2.8
Sam Williams,1985,PHI,25,488,0.427,0.318,-1.96,-0.1,"($600,4,25.91
Brook Steppe,1985,DET,25,486,0.565,0.584,0.88,0.3,"$500,1.9,2
John Drew,1985,UTA,30,463,0.491,0.469,-2.27,0.2,"$900,-0.1,2.4
Peter Thibeaux,1985,GSW,23,461,0.515,0.344,0.44,0.2,"($1,2.8,3
Ray Williams,1985,BOS,30,459,0.45,0.322,-4.04,0.2,"$1,0.2,-0.1
J.J. Anderson,1985,UTA,24,457,0.441,0.302,-0.92,0,"$300,2.8,3
Edgar Jones,1985,CLE,28,447,0.506,0.326,0.19,0.2,"($400,-0.5,-0.3
Jeff Cook,1985,CLE,28,440,0.466,0.257,1.58,0.1,"$1,0.2,-0.1
Mike Dunleavy,1985,MIL,30,433,0.572,0.215,-0.98,0.6,"$1,0.2,0.5
Greg Kite,1985,BOS,23,424,0.431,0.364,-0.15,-0.1,"($800,5,23.49
Steve Burtt,1985,GSW,22,418,0.444,0.41,-2.16,0.1,"($2,1.2,2
Major Jones,1985,DET,31,418,0.589,0.586,2.25,0.3,"$800,4.1,4
Mike Sanders,1985,PHO,24,418,0.535,0.337,-0.41,0.2,"$1,0.4,0.3
Kevin Williams,1985,CLE,23,413,0.503,0.478,-2.88,0.3,"$800,0.2,0
M.L. Carr,1985,BOS,34,397,0.479,0.114,-0.42,0.1,"$500,2.3,3
Larry Micheaux,1985,HOU,24,394,0.618,0.213,2.75,0.4,"$1,0.5,0.1
Stuart Gray,1985,IND,21,391,0.453,0.511,-1.85,0.1,"($1,5,5
Walker Russell,1985,ATL,24,377,0.589,0.27,-2.71,0.5,"$700,1.6,1
Billy Paultz,1985,UTA,36,370,0.413,0.322,-0.76,0,"($1,4.4,5
Pete Verhoeven,1985,KCK,25,366,0.517,0.231,1.01,0.1,"$600,25.96,3
Terry Teagle,1985,GSW,24,344,0.575,0.259,3.34,0.3,"$1,0.6,-0.4
Edgar Jones,1985,SAS,28,322,0.569,0.56,0.44,0.2,"$900,3.9,4
Joe Kopicki,1985,DEN,24,308,0.61,0.568,1.29,0.4,"$1,0.3,-0.1
Fred Roberts,1985,SAS,24,305,0.51,0.388,-0.53,0.1,"$400,-0.2,3.4
Charlie Sitton,1985,DAL,22,304,0.433,0.266,-1.8,0,"$200,22.59,0
Wayne Sappleton,1985,NJN,24,298,0.471,0.391,0.24,0.1,"($700,4,24.21
Phil Ford,1985,HOU,28,290,0.401,0.383,-3.03,0.1,"($400,1,28.98
Ronnie Lester,1985,LAL,26,278,0.465,0.378,-6.75,0.2,$0 ,26.09,4
Leon Wood,1985,PHI,22,269,0.419,0.194,-4.68,0.2,"($800,1,22.86
Tom Scheffler,1985,POR,30,268,0.435,0.392,0.78,0,"$200,30.27,0
Ron Brewer,1985,NJN,29,245,0.62,0.214,4.77,0.4,"$1,0.2,0.4
Willie White,1985,DEN,22,234,0.469,0.25,-3.77,0.2,"($400,2,22.45
Paul Thompson,1985,MIL,23,227,0.442,0.324,-2.62,0.1,"$1,0.2,0.1
Ed Nealy,1985,KCK,24,225,0.592,0.432,1.82,0.3,"$900,24.95,2
Mark McNamara,1985,KCK,25,210,0.511,0.759,0.67,0.1,"$400,25.65,2
Franklin Edwards,1985,LAC,25,198,0.594,0.364,-0.98,0.5,"$1,0.3,-0.1
Pace Mannion,1985,UTA,24,190,0.479,0.365,-2.66,0.2,"$1,0.1,-0.1
Craig Ehlo,1985,HOU,23,189,0.529,0.435,-2.15,0.3,"$800,23.48,1
Billy Knight,1985,KCK,32,189,0.5,0.232,-1.27,0.2,"$300,2,32.65
Rick Carlisle,1985,BOS,25,179,0.45,0.254,-4.4,0.1,"($200,2,25.27
Michael Wilson,1985,CLE,25,175,0.573,0.556,-0.13,0.4,"$1,0.2,0.1
Larry Micheaux,1985,MIL,24,171,0.541,0.486,1.56,0.2,"$1,0.5,0.1
Sidney Lowe,1985,ATL,25,159,0.51,0.4,-4.53,0.4,"$800,1,72
Marc Iavaroni,1985,PHI,28,156,0.446,0.194,-0.87,0,"$400,4,28.38
Tom Sluby,1985,DAL,22,151,0.543,0.362,-0.32,0.3,"$500,22.95,0
Jay Murphy,1985,LAC,22,149,0.236,0.42,-5.3,-0.4,"($1,3.9,4
Kenton Edelin,1985,IND,22,143,0.333,0.615,1.91,-0.2,"$1,3,22.69
Hank McDowell,1985,HOU,25,132,0.506,0.238,0.49,0.2,"$800,25.22,3
David Pope,1985,KCK,22,129,0.349,0.245,-3.89,-0.2,"($100,3,22.8
Guy Williams,1985,WSB,24,119,0.468,0.079,-1.36,0.2,"$1,3.2,3
David Thirdkill,1985,DET,24,115,0.521,0.478,1.34,0.2,"$400,3,24.81
Charlie Criss,1985,ATL,36,115,0.458,0.353,-3.87,0.2,"$600,-0.3,1
Greg Kelser,1985,IND,27,114,0.475,0.528,-2.8,0.2,"$700,3,27.38
John Schweitz,1985,SEA,24,110,0.364,0.135,-8.18,0.1,"($100,2,24.79
Steve Hayes,1985,PHI,29,101,0.557,0.222,4.41,0.2,"$800,29.5,3
Geoff Huston,1985,CLE,27,93,0.494,0.12,-4.37,0.4,"($200,1,27.23
Scooter McCray,1985,SEA,24,93,0.638,0.4,0.18,0.5,"$700,4,24.98
Michael Wilson,1985,NJN,25,92,0.429,0.261,-1.2,0.1,"$900,25.38,1
Stewart Granger,1985,ATL,23,92,0.39,0.471,-4.68,0,"$100,1,23.27
Don Collins,1985,WSB,26,91,0.421,0.265,-2.93,0,"$1,2.5,2
Tom Sewell,1985,WSB,22,87,0.265,0.111,-6.47,-0.3,"($100,2,22.9
Ron Brewer,1985,SAS,29,81,0.445,0.206,-1.96,0,"$300,2,29.38
Chris Engler,1985,NJN,25,76,0.476,0.563,3.69,0.1,"$500,5,25.93
Howard Carter,1985,DAL,23,66,0.192,0.043,-8.38,-0.4,"($100,2,23.27
Mark McNamara,1985,SAS,25,63,0.637,1,2.28,0.3,"$500,5,25.65
Chuck Nevitt,1985,LAL,25,59,0.292,0.471,-8.54,-0.4,"$600,5,25.64
David Thirdkill,1985,SAS,24,52,0.55,0.545,2.18,0.2,"$1,0.1,0
Robert Smith,1985,CLE,29,48,0.374,0.588,-3.08,0.1,"$700,1,29.9
Rick Robey,1985,PHO,29,48,0.253,0.222,-6.87,-0.3,"$600,5,29.01
Joe Cooper,1985,SEA,27,45,0.482,0.4,2.31,0.1,"$1,5,27.42
Dale Wilkinson,1985,LAC,24,38,0.41,0.5,-3.92,0,"$500,3,24.88
Jerry Eaves,1985,ATL,25,37,0.637,1,-0.14,0.5,"$600,1,25.98
Lorenzo Romar,1985,DET,26,35,0.441,0.625,-6.28,0.3,"$600,1,26.22
Truck Robinson,1985,NYK,33,35,0.34,0.4,-4.1,-0.1,"$1,3.5,4
Sidney Lowe,1985,DET,25,31,0.286,0,-5.67,-0.1,"$600,1,25.03
Charles Jones,1985,CHI,27,29,0.602,1.5,-0.3,0.3,"$1,4,27.83
Charles Davis,1985,WSB,26,28,0.298,0.4,-4.87,-0.2,"$700,3,26.33
Danny Young,1985,SEA,22,26,0.2,0,-7.13,-0.4,"$800,1,22.52
Campy Russell,1985,CLE,33,24,0.361,0.429,-8.22,0,"$700,3,33.06
Dane Suttle,1985,KCK,23,24,0.504,0.154,-0.22,0.2,"$900,23.48,1
Lorenzo Romar,1985,MIL,26,16,0.125,0,-9.06,-0.5,"$600,1,26.22
David Thirdkill,1985,MIL,24,16,0.717,0.5,7.78,0.5,"$1,3,24.81
Kenny Natt,1985,KCK,26,16,0,0,-1.24,-0.8,"$1,2,26.33
Kenny Natt,1985,UTA,26,13,0.444,0.8,-7.64,0,"$800,2,26.33
Leo Rautins,1985,ATL,24,12,0,0,-9.19,-0.7,"$900,3,24.87
Ralph Jackson,1985,IND,22,12,0.333,0,-8.37,0.1,"$1,1,1
Butch Graves,1985,CLE,23,11,0.305,0.833,-9.05,-0.1,"$900,2,23.08
Michael Young,1985,PHO,24,11,0.333,0,-2.69,-0.2,"$800,3,24.08
Tom LaGarde,1985,NJN,29,8,0.266,2,-3.01,-0.4,"$900,5,29.98
Linton Townes,1985,SAS,25,8,0.145,0.333,-19.39,-0.7,"$700,3,25.18
Earl Jones,1985,LAL,24,7,0,0,-4.41,-1,"$900,5,24.05
Dale Wilkinson,1985,DET,24,7,0,0,-3.31,-0.9,"$900,4,24.88
Mark West,1985,MIL,24,6,0.532,2,-8.02,0.1,"$900,5,24.24
Terry Teagle,1985,DET,24,5,0.5,0,-3.41,0.1,"$900,2,24.81
Chris Engler,1985,MIL,25,3,0,0,-18.69,-0.9,"$1,5,5
Chris Engler,1985,CHI,25,3,0.5,0,-12.77,0.1,"$900,5,25.93
Maurice Cheeks,1986,PHI,29,3270,0.597,0.367,-1.68,0.5,"$17,9.6,9.5
Larry Bird,1986,BOS,29,3113,0.58,0.306,0.61,0.5,"$41,23.6,17.1
Buck Williams,1986,NJN,25,3070,0.565,0.465,1.43,0.3,"$11,5.8,2.8
Dominique Wilkins,1986,ATL,26,3049,0.536,0.372,-0.59,0.3,"$21,11.7,11.4
Alex English,1986,DEN,32,3024,0.562,0.314,1.68,0.4,"$15,8.6,12
Jeff Malone,1986,WSB,24,2992,0.533,0.244,1.26,0.3,"$3,1.3,4.6
Mike Mitchell,1986,SAS,30,2970,0.514,0.231,-1.51,0.1,"($2,2.4,-4.4
Charles Barkley,1986,PHI,22,2952,0.619,0.555,0.48,0.5,"$35,19.8,11.5
Reggie Theus,1986,SAC,28,2919,0.556,0.431,-2.87,0.5,"$10,5.6,7.5
Bill Laimbeer,1986,DET,28,2891,0.545,0.288,2.05,0.3,"$11,6.1,4.4
Alvin Robertson,1986,SAS,23,2878,0.563,0.299,-1.11,0.4,"$30,16.9,9.3
Vern Fleming,1986,IND,23,2870,0.558,0.41,-0.73,0.4,"$14,7.8,5.3
Ralph Sampson,1986,HOU,25,2864,0.516,0.294,-1.56,0.2,"$12,6.8,2.6
Roy Hinson,1986,CLE,24,2834,0.578,0.434,2.16,0.3,"$10,5.2,4.3
Joe Barry Carroll,1986,GSW,27,2801,0.516,0.357,-1.53,0.2,"$5,2.4,1.2
Kiki Vandeweghe,1986,POR,27,2791,0.614,0.452,2.86,0.4,"$8,4.1,9.3
Jack Sikma,1986,SEA,30,2790,0.535,0.374,-0.29,0.3,"$15,8.5,3.3
Isiah Thomas,1986,DET,24,2790,0.554,0.37,-1.71,0.6,"$20,11.5,11.8
Rolando Blackman,1986,DAL,26,2787,0.576,0.366,0.76,0.3,"$8,4.3,7.8
Herb Williams,1986,IND,27,2770,0.533,0.316,0.32,0.3,"$10,5.4,1.9
Sleepy Floyd,1986,GSW,25,2764,0.587,0.438,-1.55,0.6,"$15,8.6,10.2
Randy Wittman,1986,ATL,26,2760,0.555,0.153,1.12,0.3,"$10,5.3,4.9
Adrian Dantley,1986,UTA,29,2744,0.629,0.548,4.1,0.5,"$23,13,15.7
Jay Humphries,1986,PHO,23,2733,0.534,0.35,-2,0.3,"$5,2.5,2.1
Dennis Johnson,1986,BOS,31,2732,0.509,0.28,-1.97,0.2,"$9,5,3.9
Moses Malone,1986,PHI,30,2706,0.553,0.629,-0.43,0.2,"$4,2.2,4.5
Xavier McDaniel,1986,SEA,22,2706,0.525,0.31,-0.88,0.3,"$12,6.4,4.6
Paul Pressey,1986,MIL,27,2704,0.564,0.465,-2.26,0.5,"$24,13.5,8.3
Terry Cummings,1986,MIL,24,2669,0.503,0.281,-2.05,0.1,"$11,5.8,3.7
Kareem Abdul-Jabbar,1986,LAL,38,2629,0.603,0.328,0.93,0.4,"$21,11.7,9.7
Sam Perkins,1986,DAL,24,2626,0.573,0.414,1.6,0.3,"$12,6.3,5
Kelly Tripucka,1986,DET,26,2626,0.567,0.359,1.42,0.4,"$12,6.3,7.5
Fat Lever,1986,DEN,25,2616,0.473,0.172,-3.16,0.3,"$13,7.1,3.8
Rodney McCray,1986,HOU,24,2610,0.583,0.353,1.62,0.4,"$11,6.1,3.8
Marques Johnson,1986,LAC,29,2605,0.555,0.326,0.69,0.4,"$13,7.3,7.9
Magic Johnson,1986,LAL,26,2578,0.61,0.473,-3.14,0.6,"$25,13.9,12.2
Clyde Drexler,1986,POR,23,2576,0.53,0.334,-3.14,0.4,"$22,12.5,8.8
Mychal Thompson,1986,POR,31,2569,0.525,0.306,-0.62,0.2,"$3,1.6,1
Gerald Henderson,1986,SEA,30,2568,0.537,0.248,-1.35,0.4,"$9,5,5.4
Sidney Moncrief,1986,MIL,28,2567,0.604,0.603,1.8,0.5,"$22,12.3,11
Robert Parish,1986,BOS,32,2567,0.586,0.347,1.08,0.3,"$15,8.1,4.9
Cliff Robinson,1986,WSB,25,2563,0.518,0.281,-0.35,0.3,"$9,4.7,2.9
Mark Eaton,1986,UTA,29,2551,0.499,0.343,1.18,0.1,"$10,5.7,-4.2
World B. Free,1986,CLE,32,2535,0.533,0.339,0.79,0.4,"$11,6.1,8.8
Mike Gminski,1986,NJN,26,2525,0.594,0.414,2.88,0.4,"$12,6.3,5.4
Eddie Johnson,1986,SAC,26,2514,0.523,0.262,-0.81,0.2,"$3,1.3,4
Mark Aguirre,1986,DAL,26,2501,0.547,0.34,-1.55,0.3,"$11,5.9,8
Larry Nance,1986,PHO,26,2484,0.616,0.444,1.55,0.4,"$19,10.5,7
Karl Malone,1986,UTA,22,2475,0.504,0.399,-2.63,0.2,"$5,2.6,-1.2
Julius Erving,1986,PHI,35,2474,0.537,0.339,-0.82,0.3,"$13,7.4,5.6
John Bagley,1986,CLE,25,2472,0.475,0.249,-5.46,0.4,"$6,3,3.2
Hakeem Olajuwon,1986,HOU,23,2467,0.56,0.453,0.93,0.3,"$22,12.3,7.6
Cedric Maxwell,1986,LAC,30,2458,0.592,0.85,1.13,0.4,"$10,5.3,4.9
James Worthy,1986,LAL,24,2454,0.613,0.289,1.86,0.4,"$18,10.1,8.8
Lewis Lloyd,1986,HOU,26,2444,0.567,0.211,0.58,0.4,"$11,5.8,6.8
Larry Smith,1986,GSW,28,2441,0.539,0.387,2.18,0.2,"$9,4.7,3.5
Purvis Short,1986,GSW,28,2427,0.547,0.309,0.56,0.3,"$10,5.5,7.6
Kyle Macy,1986,CHI,28,2426,0.557,0.152,-0.25,0.5,"$3,1.7,4.6
Mike Woodson,1986,SAC,27,2417,0.527,0.269,0.11,0.2,"$3,1.5,2.7
Danny Ainge,1986,BOS,26,2407,0.562,0.194,-0.3,0.4,"$10,5.2,4.3
T.R. Dunn,1986,DEN,30,2401,0.493,0.232,2.73,0.2,"$12,6.5,0.9
Kevin McHale,1986,BOS,28,2397,0.623,0.429,2.43,0.4,"$19,10.8,8.3
Steve Stipanovich,1986,IND,25,2397,0.526,0.356,0.53,0.3,"$10,5.7,2.4
Otis Birdsong,1986,NJN,30,2395,0.529,0.199,-0.41,0.3,"$3,1.5,3
Artis Gilmore,1986,SAS,36,2395,0.661,0.705,3.26,0.5,"$10,5.6,4.2
LaSalle Thompson,1986,SAC,24,2377,0.559,0.348,0.66,0.3,"$12,6.3,2.8
Thurl Bailey,1986,UTA,24,2358,0.499,0.257,-0.64,0.2,"$2,0.9,-0.3
Rory Sparrow,1986,NYK,27,2344,0.511,0.176,-1.94,0.4,"$2,1.1,1.6
Dan Roundfield,1986,WSB,32,2321,0.56,0.548,0.95,0.3,"$7,3.5,1.4
Sidney Green,1986,CHI,25,2307,0.526,0.383,-0.81,0.2,"$2,0.6,1.1
Kevin Willis,1986,ATL,23,2300,0.545,0.324,1.01,0.2,"$2,1,0.7
